                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.62696,                0.64728,                 1.1847,                0.79558,                0.64524,                0.70134,                0.55059,                 1.0797,                 1.2347,                 1.7517,              0.0006733,              0.0006733,              0.0006733
                     35,                0.63614,                0.61593,                 1.1763,                0.76984,                0.64342,                0.73802,                0.57943,                 1.0645,                 1.1809,                 1.7516,              0.0006634,              0.0006634,              0.0006634
                     36,                0.62603,                0.62298,                   1.17,                0.71234,                0.68656,                0.72357,                0.55578,                 1.0558,                 1.2426,                 1.7766,              0.0006535,              0.0006535,              0.0006535
                     37,                0.63057,                0.64629,                 1.1852,                0.65212,                0.65861,                0.70195,                 0.5497,                 1.0591,                  1.391,                 1.7632,              0.0006436,              0.0006436,              0.0006436
                     38,                0.58653,                0.64713,                 1.1597,                0.66495,                 0.6733,                0.71506,                0.56548,                 1.0615,                 1.2272,                 1.7487,              0.0006337,              0.0006337,              0.0006337
                     39,                0.59945,                0.62947,                 1.1561,                0.69093,                0.68138,                0.69987,                  0.553,                 1.0709,                 1.2494,                 1.8195,              0.0006238,              0.0006238,              0.0006238
                     40,                0.62726,                0.65298,                  1.195,                0.65296,                0.66892,                0.69302,                0.55579,                 1.0938,                 1.3529,                 1.8049,              0.0006139,              0.0006139,              0.0006139
                     41,                0.60215,                0.62614,                 1.1615,                0.65232,                0.65673,                0.66195,                0.52947,                 1.0567,                 1.7982,                  1.775,               0.000604,               0.000604,               0.000604
                     42,                0.59607,                0.64292,                 1.1525,                0.70671,                0.66999,                0.68128,                0.53984,                 1.0264,                 1.3077,                 1.7199,              0.0005941,              0.0005941,              0.0005941
                     43,                0.57178,                0.61485,                 1.1464,                0.75122,                0.69087,                0.73294,                0.57876,                 1.0272,                 1.2084,                 1.7217,              0.0005842,              0.0005842,              0.0005842
                     44,                0.57099,                0.61313,                 1.1466,                0.77942,                0.62307,                0.67771,                 0.5252,                 1.0881,                 1.5231,                 1.7998,              0.0005743,              0.0005743,              0.0005743
                     45,                0.58861,                0.61219,                 1.1478,                0.75353,                0.67796,                 0.7107,                0.55103,                 1.0627,                 1.2239,                 1.7521,              0.0005644,              0.0005644,              0.0005644
                     46,                0.58986,                0.64025,                 1.1362,                0.76469,                0.68079,                0.69912,                0.55226,                 1.0191,                 1.3062,                 1.7204,              0.0005545,              0.0005545,              0.0005545
                     47,                0.59443,                0.59464,                 1.1485,                0.75429,                0.68096,                0.71539,                0.56456,                 1.0336,                 1.2923,                 1.7704,              0.0005446,              0.0005446,              0.0005446
                     48,                0.59263,                0.60904,                 1.1297,                0.82491,                0.61104,                0.69645,                0.55607,                 1.0544,                 1.3636,                 1.7801,              0.0005347,              0.0005347,              0.0005347
                     49,                0.56856,                0.57673,                 1.1428,                0.76839,                0.66292,                0.70076,                0.54556,                 1.0661,                 1.3147,                 1.7747,              0.0005248,              0.0005248,              0.0005248
                     50,                0.54966,                0.56135,                 1.1476,                0.73326,                0.69638,                0.71362,                0.56461,                 1.0264,                 1.1874,                 1.7418,              0.0005149,              0.0005149,              0.0005149
                     51,                0.57271,                0.55459,                 1.1349,                0.74965,                0.69418,                0.72272,                 0.5632,                 1.0411,                 1.2671,                 1.7395,               0.000505,               0.000505,               0.000505
                     52,                0.58078,                0.56451,                 1.1419,                0.81419,                0.61974,                0.71118,                0.54812,                 1.0775,                  1.365,                 1.7452,              0.0004951,              0.0004951,              0.0004951
                     53,                0.55903,                0.56094,                 1.1249,                0.75217,                0.68261,                0.70555,                0.55453,                 1.0494,                 1.3002,                 1.7423,              0.0004852,              0.0004852,              0.0004852
                     54,                0.54318,                0.53267,                 1.1174,                0.75074,                0.61503,                0.69601,                0.55227,                 1.0684,                 1.3012,                 1.7724,              0.0004753,              0.0004753,              0.0004753
                     55,                 0.5772,                0.56454,                 1.1333,                0.73124,                0.64327,                0.69746,                0.56103,                 1.0169,                 1.3314,                  1.708,              0.0004654,              0.0004654,              0.0004654
                     56,                0.55161,                0.53698,                 1.1266,                0.67025,                0.63871,                0.69426,                0.55866,                 1.0506,                 1.4762,                 1.7665,              0.0004555,              0.0004555,              0.0004555
                     57,                0.58896,                0.59149,                 1.1514,                0.72732,                0.68686,                0.70312,                0.56458,                 1.0201,                 1.3021,                 1.7013,              0.0004456,              0.0004456,              0.0004456
                     58,                0.54137,                0.53461,                 1.1145,                 0.7359,                0.68347,                0.71242,                0.57489,                 1.0054,                 1.2321,                 1.6866,              0.0004357,              0.0004357,              0.0004357
                     59,                0.54499,                0.51254,                 1.1166,                0.74828,                0.65342,                0.67167,                0.52422,                 1.1099,                 1.4735,                 1.8168,              0.0004258,              0.0004258,              0.0004258
                     60,                0.54171,                0.52458,                  1.115,                0.72606,                0.66713,                0.68544,                 0.5444,                 1.0384,                 1.4625,                   1.78,              0.0004159,              0.0004159,              0.0004159
                     61,                0.55674,                0.52801,                 1.1199,                0.74344,                0.69282,                0.70553,                 0.5565,                 1.0464,                 1.3123,                 1.7989,               0.000406,               0.000406,               0.000406
                     62,                0.56654,                0.54999,                 1.1352,                0.76606,                0.68574,                0.72172,                0.57028,                 1.0167,                 1.2953,                 1.7227,              0.0003961,              0.0003961,              0.0003961
                     63,                0.54497,                 0.5191,                 1.1184,                0.75933,                0.64764,                0.71374,                0.56876,                 1.0364,                 1.2655,                 1.7403,              0.0003862,              0.0003862,              0.0003862
                     64,                 0.5375,                0.52333,                 1.1085,                0.73618,                0.68825,                0.69742,                0.54995,                 1.0516,                 1.4508,                 1.7581,              0.0003763,              0.0003763,              0.0003763
                     65,                0.51908,                0.51961,                 1.1191,                 0.7426,                0.66928,                0.71591,                0.56869,                  1.041,                   1.29,                 1.7832,              0.0003664,              0.0003664,              0.0003664
                     66,                0.54488,                0.51863,                 1.1161,                0.77199,                0.66839,                0.72114,                0.57353,                 1.0414,                 1.3432,                 1.7634,              0.0003565,              0.0003565,              0.0003565
                     67,                0.55127,                0.54691,                 1.1276,                0.75423,                0.66901,                0.71676,                0.57367,                0.99476,                 1.2542,                  1.702,              0.0003466,              0.0003466,              0.0003466
                     68,                0.52578,                 0.5216,                 1.0935,                0.77035,                0.62987,                0.70572,                0.57091,                 1.0392,                 1.4024,                 1.7121,              0.0003367,              0.0003367,              0.0003367
                     69,                0.53563,                 0.5098,                 1.1018,                 0.8061,                0.64008,                0.71589,                0.56949,                 1.0527,                  1.382,                 1.7338,              0.0003268,              0.0003268,              0.0003268
                     70,                  0.502,                0.49709,                 1.0856,                0.78127,                0.63639,                0.71373,                0.56921,                 1.0193,                 1.3724,                 1.7313,              0.0003169,              0.0003169,              0.0003169
